User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Temperature (°C),Charger Type,User Type
User_1,TATA Tiago,108.4630074,Station_391,Mumbai,60.71234573,0.591363425,36.38918057,13.08771679,Evening,Tuesday,29.37157598,86.11996244,27.94795306,DC Fast Charger,Commuter
User_4,Hyundai Kona,50,Station_327,Mumbai,79.45782399,1.266430805,32.88286976,13.03623883,Evening,Saturday,83.12000296,99.62432763,38.31631316,Level 1,Long-Distance Traveler
User_7,TATA Curvv,85,Station_162,Mumbai,36.86213999,3.539619026,26.18518786,22.21422518,Evening,Friday,60.75178076,70.7960969,27.55133468,Level 2,Commuter
User_14,MG Comet,75,Station_327,Mumbai,16.56106433,3.590965718,19.76909872,37.4418566,Morning,Friday,25.77541539,69.2012291,34.11034864,Level 2,Commuter
User_15,TATA Tiago,85,Station_96,Mumbai,12.92754529,3.421809338,24.21115012,18.55281568,Afternoon,Monday,71.68354384,63.70663794,39.50544569,Level 1,Casual Driver
User_25,Punch.EV,100,Station_150,Mumbai,27.60438468,0.95713766,11.23853863,24.03753469,Morning,Wednesday,65.48688658,65.35209627,35.97782192,Level 1,Long-Distance Traveler
User_27,TATA Curvv,75,Station_361,Mumbai,43.48775122,3.652540335,36.18237188,27.44831088,Afternoon,Thursday,88.74847907,87.824029,29.87220987,Level 1,Commuter
User_34,Punch.EV,62,Station_211,Mumbai,60.06708509,0.999100188,7.651570047,18.03439004,Afternoon,Monday,22.88146663,51.43427868,13.99159748,Level 2,Casual Driver
User_35,TATA Curvv,75,Station_402,Mumbai,57.72437946,1.873581597,4.485647105,35.50300017,Afternoon,Friday,41.87247964,79.64797277,28.42980738,DC Fast Charger,Long-Distance Traveler
User_40,MG Comet,100,Station_23,Mumbai,68.17785004,3.242446058,23.31161908,8.498571937,Morning,Thursday,17.04042002,56.07865101,-3.191455366,Level 2,Long-Distance Traveler
User_42,Punch.EV,100,Station_461,Mumbai,39.39874236,2.397715361,20.46036487,26.61971775,Morning,Saturday,28.25229826,96.28709224,19.78108389,Level 2,Commuter
User_43,TATA Tiago,85,Station_391,Mumbai,12.04931971,1.373881358,29.46894436,32.0420986,Night,Saturday,36.63685216,66.97610432,39.41613092,Level 1,Commuter
User_55,TATA Curvv,100,Station_185,Mumbai,17.76943641,3.314079763,34.45824194,9.798498138,Evening,Thursday,27.69749249,70.51026725,19.70335918,DC Fast Charger,Casual Driver
User_58,MG Comet,62,Station_130,Mumbai,77.86372676,0.917902247,47.1540098,28.30319112,Afternoon,Saturday,56.91742176,57.46568225,38.46677945,DC Fast Charger,Casual Driver
