Vehicle Model,Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Temperature (°C),Charger Type,User Type
TATA Tiago,108.4630074,60.71234573,0.591363425,36.38918057,27.94795306,DC Fast Charger,Commuter
Hyundai Kona,50,79.45782399,1.266430805,32.88286976,38.31631316,Level 1,Long-Distance Traveler
TATA Curvv,85,36.86213999,3.539619026,26.18518786,27.55133468,Level 2,Commuter
MG Comet,75,16.56106433,3.590965718,19.76909872,34.11034864,Level 2,Commuter
TATA Tiago,85,12.92754529,3.421809338,24.21115012,39.50544569,Level 1,Casual Driver
Punch.EV,100,27.60438468,0.95713766,11.23853863,35.97782192,Level 1,Long-Distance Traveler
TATA Curvv,75,43.48775122,3.652540335,36.18237188,29.87220987,Level 1,Commuter
Punch.EV,62,60.06708509,0.999100188,7.651570047,13.99159748,Level 2,Casual Driver
TATA Curvv,75,57.72437946,1.873581597,4.485647105,28.42980738,DC Fast Charger,Long-Distance Traveler
MG Comet,100,68.17785004,3.242446058,23.31161908,-3.191455366,Level 2,Long-Distance Traveler
Punch.EV,100,39.39874236,2.397715361,20.46036487,19.78108389,Level 2,Commuter
TATA Tiago,85,12.04931971,1.373881358,29.46894436,39.41613092,Level 1,Commuter
TATA Curvv,100,17.76943641,3.314079763,34.45824194,19.70335918,DC Fast Charger,Casual Driver
MG Comet,62,77.86372676,0.917902247,47.1540098,38.46677945,DC Fast Charger,Casual Driver
MG Comet,100,71.28000416,2.413754937,40.61639923,33.05773081,Level 2,Casual Driver
MG Comet,62,21.82768818,2.082100007,26.50712322,38.65644396,Level 1,Casual Driver
Hyundai Kona,124.3159114,46.195137,0.650507579,47.87752356,6.171256709,Level 2,Commuter
TATA Tiago,62,59.25460166,1.279620696,,35.27145069,Level 2,Long-Distance Traveler
TATA Tiago,50,67.00568214,3.608030961,4.092360865,-2.724902766,Level 1,Long-Distance Traveler
Hyundai Kona,75,61.13047583,0.947277209,23.28180496,7.662649709,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,85,69.16916706,2.285242161,5.557358509,20.01432447,Level 1,Casual Driver
TATA Tiago,100,30.65169982,1.028818667,28.52235334,-4.932743443,DC Fast Charger,Casual Driver
TATA Tiago,75,59.98647673,3.7293654,23.41792115,15.06062245,Level 1,Commuter
Punch.EV,50,57.92445004,1.261117293,12.53816191,1.825449687,Level 1,Casual Driver
TATA Curvv,85,65.43101691,0.929486554,20.27269894,30.19970956,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,100,36.137269,2.449346455,36.37707579,32.30733829,DC Fast Charger,Casual Driver
Punch.EV,85,43.44537898,1.405889911,,19.86952895,Level 1,Casual Driver
MG Comet,63.09631665,47.7140959,1.176839308,,34.27808119,DC Fast Charger,Casual Driver
Punch.EV,75,64.41904929,3.190013103,24.62165118,25.3204757,Level 1,Long-Distance Traveler
Hyundai Kona,50,35.55367093,3.536754115,45.8556972,26.1334068,Level 1,Commuter
Hyundai Kona,100,36.61656862,3.358014647,27.32114694,24.52303877,Level 2,Long-Distance Traveler
TATA Tiago,50,65.48719596,2.06628138,37.57728956,17.52272767,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,85,33.88719708,3.625604853,18.6042609,-4.160747933,DC Fast Charger,Long-Distance Traveler
MG Comet,85,30.0651389,1.267429956,35.87112113,33.0181713,DC Fast Charger,Long-Distance Traveler
Punch.EV,100,47.37743937,1.299527036,48.16033463,8.511630397,DC Fast Charger,Casual Driver
TATA Tiago,50,78.69341922,2.856062565,36.56255637,12.73792455,Level 1,Long-Distance Traveler
TATA Tiago,85,40.2483826,3.6354899,33.73226426,38.96813601,DC Fast Charger,Commuter
TATA Curvv,50,56.06879095,3.254362544,28.16853365,7.109435812,DC Fast Charger,Long-Distance Traveler
Punch.EV,62,65.04979561,3.436820245,22.55945181,25.34429385,DC Fast Charger,Casual Driver
Hyundai Kona,50.87061708,23.57128154,0.841961239,49.78371903,-3.089617682,DC Fast Charger,Casual Driver
Hyundai Kona,85,45.57396766,3.265855666,11.089827,-9.090468359,Level 2,Commuter
TATA Tiago,75,54.6408791,3.249662139,19.70948849,12.62950128,Level 1,Commuter
TATA Tiago,85,56.01783154,1.040974023,37.85307848,11.49275618,Level 1,Long-Distance Traveler
Punch.EV,85,118.8974904,0.984549221,9.2864977,18.40533315,Level 2,Casual Driver
MG Comet,75,41.15701391,3.473821822,32.59959954,27.90141336,DC Fast Charger,Casual Driver
TATA Tiago,50,71.14274636,1.725136155,14.82991098,17.42486706,DC Fast Charger,Long-Distance Traveler
Punch.EV,50,21.82050637,0.856617261,97.3422547,10.33600034,Level 1,Long-Distance Traveler
Punch.EV,62,47.31460938,0.968976969,10.16337295,23.72798354,Level 1,Casual Driver
Punch.EV,50,63.62653233,2.040022115,9.986771923,5.098606887,Level 1,Commuter
TATA Curvv,50,8.349591228,2.312675062,47.48218949,3.04969077,Level 1,Long-Distance Traveler
TATA Tiago,62,13.48519533,2.665368482,29.87310551,-5.680662911,DC Fast Charger,Commuter
Hyundai Kona,85,70.99471727,0.776358498,12.56141232,4.756515892,Level 1,Long-Distance Traveler
TATA Tiago,89.03206383,78.64289917,0.608975083,34.823951,21.9585411,Level 2,Commuter
TATA Curvv,85,75.18617181,3.623184646,53.1747828,24.92336832,Level 1,Casual Driver
TATA Tiago,75,15.27366667,2.865108393,5.37038419,6.864161791,DC Fast Charger,Long-Distance Traveler
Punch.EV,50,44.15948701,3.976851392,23.75243532,-5.332773776,Level 1,Long-Distance Traveler
MG Comet,50,20.46478094,3.64700851,18.59949061,25.42808821,Level 1,Casual Driver
TATA Tiago,120.5106328,68.82528251,2.465336096,16.93561005,-1.966119085,Level 1,Commuter
Punch.EV,62,22.57288245,2.168491761,41.5266716,1.565003654,DC Fast Charger,Long-Distance Traveler
TATA Tiago,100,22.27571241,2.312877329,18.2090343,21.74994096,DC Fast Charger,Long-Distance Traveler
TATA Curvv,75,61.11752874,2.710755713,28.40157855,-3.133508581,Level 2,Long-Distance Traveler
Punch.EV,75,36.5318794,2.651650861,5.092837674,11.30164247,DC Fast Charger,Long-Distance Traveler
TATA Tiago,50,47.90409794,1.161237734,22.06190557,-2.996197815,Level 1,Commuter
Hyundai Kona,100,79.00225971,3.893154871,26.97742286,7.684356808,Level 2,Commuter
TATA Tiago,75,51.62169093,1.303555581,43.16138737,7.936964701,Level 1,Casual Driver
TATA Tiago,75,70.62045542,0.637026905,18.33554746,-4.842996855,Level 1,Commuter
Punch.EV,75,32.52486105,2.287496504,31.55315617,25.92667701,DC Fast Charger,Long-Distance Traveler
Punch.EV,100,78.3990561,0.531884804,29.75315871,-9.296045391,Level 1,Commuter
TATA Tiago,75,23.99396127,3.26954211,32.93397056,5.918020657,Level 2,Long-Distance Traveler
TATA Curvv,100,23.54038392,2.592597277,3.508161487,14.53864932,Level 2,Casual Driver
TATA Tiago,85,46.45478115,3.936570537,42.8384828,26.51176747,Level 1,Commuter
Hyundai Kona,100,66.17491556,1.590891399,4.096052506,12.62900175,DC Fast Charger,Casual Driver
MG Comet,50,55.42091221,3.674410026,39.08038685,-9.366179122,DC Fast Charger,Commuter
TATA Curvv,85,14.50345514,2.240834005,37.65992488,12.24739891,Level 2,Commuter
TATA Tiago,62,103.8126056,3.525445469,16.59138267,8.330158356,Level 2,Casual Driver
TATA Tiago,62,62.19283346,0.555210364,20.45251231,14.27625134,DC Fast Charger,Long-Distance Traveler
MG Comet,85,40.16142185,2.517973872,28.47996213,13.35438717,DC Fast Charger,Casual Driver
MG Comet,62,42.51736092,0.929764657,39.91263736,10.33319646,Level 2,Casual Driver
TATA Curvv,75,10.45065783,1.428296234,39.8938261,20.63494735,Level 2,Long-Distance Traveler
TATA Tiago,100,30.805662,1.037860072,18.97988935,29.11438027,Level 2,Casual Driver
TATA Tiago,77.60847805,73.09045077,1.754047947,30.38880381,2.594249726,DC Fast Charger,Casual Driver
TATA Tiago,75,26.99234408,3.548983526,46.58137118,25.10961225,Level 2,Commuter
TATA Curvv,75,52.90446367,1.546956035,15.57205559,32.57385369,Level 2,Long-Distance Traveler
Hyundai Kona,75,43.4665651,3.61707816,23.22301592,33.1090396,Level 2,Long-Distance Traveler
MG Comet,50,54.88401336,1.886770506,6.985136805,30.59387793,Level 1,Commuter
Punch.EV,75,36.04757739,1.64577996,49.85189639,6.876897282,Level 2,Casual Driver
Hyundai Kona,62,31.73575031,1.961957618,11.12987276,-9.56906362,Level 1,Casual Driver
Hyundai Kona,85,64.53824697,3.970999801,17.56016007,12.32638948,Level 2,Commuter
MG Comet,75,69.44996148,1.066206747,49.41673269,37.89907159,Level 1,Casual Driver
Hyundai Kona,62,79.46231191,2.895348986,25.41252017,32.53882053,DC Fast Charger,Long-Distance Traveler
MG Comet,50,27.04710323,1.109637723,4.521631542,20.56538827,DC Fast Charger,Commuter
MG Comet,100,5.650181738,0.639951451,11.66743821,23.05944663,DC Fast Charger,Casual Driver
MG Comet,69.44504561,72.71574853,0.682132432,32.25343212,4.485795959,DC Fast Charger,Commuter
MG Comet,85,61.9271036,0.798403786,25.27459826,7.685197905,DC Fast Charger,Commuter
Punch.EV,62,33.39817876,2.455006976,14.42092922,27.28334186,DC Fast Charger,Long-Distance Traveler
TATA Curvv,50,74.54048486,3.591079873,16.93586894,10.74680105,Level 2,Casual Driver
TATA Curvv,100,76.49931987,3.007714522,37.44551098,45.75334767,Level 2,Commuter
TATA Tiago,85,63.83060875,2.45865252,38.13906947,13.91915988,Level 2,Casual Driver
MG Comet,62,65.18392769,2.408337112,38.57770533,17.14920107,Level 1,Commuter
TATA Curvv,75,21.03051965,2.844416686,8.332992518,35.80057736,DC Fast Charger,Commuter
Punch.EV,39.29742253,21.0022301,1.863435975,26.23272288,37.19955857,Level 2,Commuter
Punch.EV,75,34.80201788,0.852049798,16.59673018,14.22429415,DC Fast Charger,Casual Driver
MG Comet,75,41.95057477,1.020998814,39.2570047,11.05077489,DC Fast Charger,Commuter
TATA Curvv,62,11.48343149,3.621537943,21.47990189,-9.305817015,DC Fast Charger,Long-Distance Traveler
Punch.EV,85,15.25417073,3.308464005,6.762530034,-2.25831715,Level 1,Commuter
Hyundai Kona,85,45.0685333,1.712579576,41.03311514,37.01416735,Level 1,Long-Distance Traveler
Hyundai Kona,75,64.87047474,3.233908962,38.98816937,27.33409428,Level 1,Casual Driver
Punch.EV,50,25.13233553,1.899860257,16.20549351,40.25549686,Level 1,Commuter
TATA Curvv,85,67.45124177,0.849602113,45.01922284,20.70521874,DC Fast Charger,Casual Driver
Punch.EV,75,21.81937874,1.989251571,,38.08420738,Level 1,Casual Driver
TATA Tiago,85,60.12372287,2.969014435,30.65934381,34.63224699,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,62,28.57887808,0.977279788,18.89050926,17.67509365,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,62,21.13404478,3.898518143,32.2920457,-1.212120196,Level 2,Long-Distance Traveler
MG Comet,50,79.39006382,2.714307816,19.13778917,14.46130434,Level 2,Commuter
MG Comet,85,43.4665651,4.141746359,34.69206917,-8.771230053,Level 2,Casual Driver
Hyundai Kona,85,64.60983161,1.226894334,3.991359551,17.10924053,Level 1,Long-Distance Traveler
TATA Tiago,62,34.38288065,2.520933069,6.558201297,-9.825102182,Level 1,Long-Distance Traveler
TATA Tiago,75,37.42669941,2.353524458,16.98014038,15.35617755,Level 1,Casual Driver
TATA Curvv,85,75.62248861,1.747279577,16.79147373,38.10561785,DC Fast Charger,Commuter
TATA Curvv,75,66.85109294,2.587561871,20.27113939,35.22549699,DC Fast Charger,Long-Distance Traveler
MG Comet,62,32.34799933,3.914681797,15.17023592,11.65767977,DC Fast Charger,Casual Driver
Hyundai Kona,100,10.24188589,0.563698573,21.4576929,16.33993683,Level 2,Long-Distance Traveler
TATA Tiago,62,71.97510218,1.057536324,23.65002521,21.52620216,Level 2,Commuter
MG Comet,62,75.40700954,3.15448654,17.72970872,12.4570578,Level 2,Commuter
Hyundai Kona,85,28.27985715,2.693719409,13.22697476,12.38716533,Level 2,Commuter
TATA Tiago,50,21.42275953,0.734879615,9.189077429,12.04385004,DC Fast Charger,Commuter
MG Comet,50,22.01644361,1.269157599,41.19625064,11.54438093,Level 1,Casual Driver
MG Comet,85,49.73870005,2.015517255,32.86836958,7.812917021,DC Fast Charger,Commuter
TATA Tiago,100,44.95337165,1.592375622,34.04003944,22.59449152,Level 1,Casual Driver
MG Comet,62,44.06215479,2.714331888,12.63772843,3.802174549,Level 2,Casual Driver
MG Comet,75,38.59813941,1.369419618,26.5629522,6.16119138,Level 2,Long-Distance Traveler
TATA Tiago,62,79.75044564,3.43346384,,29.39445354,DC Fast Charger,Commuter
Hyundai Kona,85,66.89909636,2.769485464,39.32414111,-4.073387953,DC Fast Charger,Commuter
Hyundai Kona,50,40.05179662,1.039744909,26.32801687,30.28535776,DC Fast Charger,Casual Driver
TATA Curvv,62,38.36041213,1.296983426,38.34376389,5.501271669,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,75,6.337534265,0.941406248,4.315961671,26.7089408,Level 1,Long-Distance Traveler
MG Comet,100,6.97877135,2.891860216,35.78892354,27.35537043,DC Fast Charger,Casual Driver
Hyundai Kona,50,62.42036137,2.50003528,29.9083034,23.66715836,DC Fast Charger,Casual Driver
Hyundai Kona,75,23.8368801,2.853649233,12.32951236,29.02876366,Level 1,Commuter
MG Comet,47.65326138,29.34959504,2.559701573,30.32389572,36.69341868,Level 1,Commuter
Punch.EV,50,69.71594631,3.783098446,10.06309377,-4.478051973,DC Fast Charger,Long-Distance Traveler
Punch.EV,50,69.42235104,1.937366869,9.889820742,37.26821495,DC Fast Charger,Casual Driver
Hyundai Kona,105.5549669,48.50288659,3.256956589,43.60970746,23.8877427,Level 2,Casual Driver
TATA Curvv,75,45.4711888,2.957746789,48.01145593,26.50442557,Level 1,Commuter
Punch.EV,75,51.20692409,1.288106025,9.977877022,12.32250456,Level 2,Commuter
Hyundai Kona,101.1029879,7.275443511,2.690603255,21.06032431,26.95365853,Level 2,Commuter
Punch.EV,85,47.19744469,1.551271282,23.43002275,28.41994109,Level 1,Casual Driver
MG Comet,62,24.40113304,1.478023096,31.11524448,23.59028973,Level 1,Long-Distance Traveler
TATA Curvv,193.0030739,42.74479257,1.180162501,40.2059876,-4.172668306,Level 2,Casual Driver
MG Comet,75,45.90925215,0.708738546,26.3121504,28.40385151,Level 2,Commuter
TATA Curvv,75,8.115370261,1.978147577,,33.69115081,DC Fast Charger,Long-Distance Traveler
MG Comet,50,21.30857255,3.735302162,28.04359239,-5.46532879,DC Fast Charger,Casual Driver
TATA Tiago,50,55.30273056,2.544566059,37.34746081,30.18843916,Level 2,Commuter
TATA Tiago,7.714516854,36.22941276,1.885689028,11.09306321,17.39682581,Level 2,Casual Driver
MG Comet,62,12.35040612,1.499556879,44.04764539,15.00986729,DC Fast Charger,Long-Distance Traveler
MG Comet,75,68.24465321,3.375570509,49.3612511,14.82620373,Level 1,Long-Distance Traveler
TATA Tiago,100,6.065161713,3.597765519,46.62351209,27.29212704,DC Fast Charger,Long-Distance Traveler
TATA Curvv,62,41.7666481,4.592690577,21.83372403,38.8126892,Level 1,Casual Driver
TATA Curvv,81.36841583,57.97765789,2.859080313,6.499187935,7.636850332,DC Fast Charger,Long-Distance Traveler
TATA Tiago,75,74.10752218,2.224661484,45.69740275,3.262503248,Level 2,Casual Driver
MG Comet,50,64.37713244,2.314860017,15.2565692,25.40739976,Level 2,Long-Distance Traveler
Punch.EV,75,15.5583755,0.755443089,44.45073085,25.90015483,Level 2,Casual Driver
Hyundai Kona,50,40.7367048,2.534525414,9.866759209,13.54692893,DC Fast Charger,Long-Distance Traveler
Punch.EV,62,20.51871405,3.646583045,27.17353746,22.47968921,Level 1,Long-Distance Traveler
MG Comet,62,13.58796474,3.517065237,40.81172935,4.533623094,DC Fast Charger,Commuter
TATA Curvv,50,73.37136541,3.022632764,45.50795122,7.723424435,Level 1,Commuter
Hyundai Kona,75,43.4665651,1.774553694,29.83758581,5.459169955,Level 2,Commuter
Punch.EV,85,43.25451714,3.210764372,19.27803572,27.81755697,Level 1,Commuter
Hyundai Kona,62,10.24188589,1.394747103,29.21621369,18.15385475,DC Fast Charger,Commuter
MG Comet,75,8.918418778,1.556936696,16.24196336,9.113968186,Level 1,Long-Distance Traveler
MG Comet,75,27.00471086,3.441490898,46.41136085,8.774037215,DC Fast Charger,Casual Driver
TATA Tiago,50,6.661747206,4.110062624,10.89013108,20.51545592,Level 2,Commuter
Punch.EV,100,53.64842443,3.408542212,47.29035525,12.02562263,DC Fast Charger,Commuter
Punch.EV,105.2870677,43.4665651,1.851463574,8.126977133,-0.269334466,DC Fast Charger,Long-Distance Traveler
TATA Tiago,140.7620616,60.08034819,2.078305128,46.15424524,-10.72476975,DC Fast Charger,Long-Distance Traveler
TATA Tiago,75,61.56734925,3.710275408,41.31627182,-2.209581899,Level 1,Long-Distance Traveler
TATA Curvv,62,22.57288245,2.96014749,25.29157595,24.41179393,Level 1,Commuter
TATA Tiago,62,51.49234638,3.911579304,35.21951804,-4.123444525,Level 1,Long-Distance Traveler
TATA Curvv,75,44.76974192,0.640695419,20.59023558,24.25815611,Level 2,Commuter
Punch.EV,75,38.21376481,1.88862824,35.89219701,3.056173423,DC Fast Charger,Long-Distance Traveler
Hyundai Kona,75,40.25719688,1.441548759,17.94739459,31.60235688,Level 2,Long-Distance Traveler
MG Comet,62,51.20288963,1.447056636,45.19091647,15.64840423,DC Fast Charger,Commuter
Hyundai Kona,62,77.45420996,3.308261928,29.41340669,2.24905517,Level 1,Long-Distance Traveler
Punch.EV,88.86922407,20.17078858,2.450451566,40.42078196,2.844132918,DC Fast Charger,Commuter
MG Comet,100,39.93276466,2.705918848,49.11660927,8.663582495,DC Fast Charger,Commuter
TATA Tiago,50,6.268235994,5.673788713,,25.06874494,Level 1,Commuter
MG Comet,62,20.84637782,1.499771048,26.57781476,-2.37688629,DC Fast Charger,Long-Distance Traveler
Punch.EV,50,37.61011503,3.441723779,21.06766867,38.34082129,DC Fast Charger,Commuter
Hyundai Kona,100,38.00957724,2.830236312,6.590228457,-4.148661344,DC Fast Charger,Commuter
Hyundai Kona,62,10.33664419,3.714289102,,5.194911285,DC Fast Charger,Long-Distance Traveler
Punch.EV,75,37.11856726,0.563718561,8.690646596,-0.542639424,Level 2,Casual Driver
MG Comet,50,45.6603132,2.505972271,40.67941804,22.73954601,Level 2,Long-Distance Traveler
MG Comet,50,58.74152298,2.91425797,19.94270235,-0.00429831,DC Fast Charger,Long-Distance Traveler
TATA Tiago,62,33.47231506,3.29858278,43.48176399,8.656254905,Level 2,Long-Distance Traveler
Punch.EV,100,72.08924277,2.496163492,7.494575511,3.927031788,Level 1,Long-Distance Traveler
Hyundai Kona,50,45.81366157,3.444179196,17.3546406,28.43121149,DC Fast Charger,Long-Distance Traveler
TATA Curvv,62,75.52338507,3.32691717,24.8909192,0.5816117,DC Fast Charger,Long-Distance Traveler
TATA Tiago,100,77.63851677,3.577530943,8.125454971,-3.386293111,Level 2,Commuter
TATA Tiago,75,53.9569817,3.737052894,17.87474459,6.800062382,Level 2,Long-Distance Traveler
