station_name,address,latitude,longitude,Open Hours
Electric Vehicle Charging Station,"Plot 81, B-Lane, Sector 8, Vashi, Navi Mumbai, Maharashtra",19.07126236,72.98918152,
Jio-bp pulse,"Govandi Bus Station, Deonar, Chembur, Mumbai, Maharashtra 400088",19.05439949,72.91590118,Open 24 hours
Electric Vehicle Charging Station,"2WX8+4RQ, Adonis Wing, Raheja Acropolis II CHS Ltd, Deonar, Maharashtra",19.04775238,72.91692352,Open 24 hours
Tata Power Charging Station,"Pirojshanagar, Vikhroli, Mumbai, Maharashtra",19.09502029,72.9261322,Open 24 hours
Magenta Mobility|Turbhe-Head Office,"Magenta House, D-285, Near Unitech Motors, TTC Industrial Area, Turbhe, Navi Mumbai, Maharashtra",19.05361938,73.01662445,
ChargeZone Charging Station,"Four Points by Sheraton Navi Mumbai, Plot 39/1 6 To 15, Sector 30A, Navi Mumbai, Maharashtra 400701",19.06633949,73.00015259,Open 24 hours
ChargeZone Charging Station,"2 & 3B, Near Chinmayanand Ashram, Powai, Mumbai, Maharashtra 400087",19.12737656,72.91959381,Open 24 hours
Tata Charging Station,"A, Amrut Building, 502, High Street, Central Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra",19.11758423,72.90911102,
TATA Charging Station,"101, Central Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra",19.11507607,72.90752411,
Jio-bp pulse Charging Station,"Ground Floor Ghatkopar, Kirol Rd, Kirol Village, Vidyavihar West, Vidyavihar, Mumbai, Maharashtra",19.08330727,72.90222931,Open 24 hours
Tata Charging Station,"Tata Motar Fortune, Midc Industrial Area, Shiravane, Nerul, Navi Mumbai, Maharashtra",19.04564857,73.01957703,
The Tata Power Company,"Kolshet - Transmission Receiving Stations, Ghodbunder Road, Thane, Maharashtra 400601",19.06879234,73.02302551,
ChargeZone Charging Station,"JW Marriott Mumbai Juhu, Juhu Tara Rd, Juhu Tara, Juhu, Mumbai, Maharashtra 400049",19.10153198,72.82659149,Open 24 hours
Ather Grid Charging Station,"Archery Udyan, VN Purav Marg, Diamond Garden, Basant Garden, Chembur, Mumbai, Maharashtra",19.05202675,72.90139008,
Jio-Bp Charging Station,"87, Deaonar Depot Rd, Best Colony, Govandi East, Mumbai, Maharashtra",19.04709816,72.91184235,
ABB Charging Station,"Plot no 260, Meher Building, Palm Beach Rd, Beside A N Motors Showroom, Kopri Village, Sector 28, Vashi, Navi Mumbai, Maharashtra",19.09147072,73.01184845,
GLIDA Charging Station,"Basement, CTS No. 1754, 1754/1, to, VN Purav Marg, Diamond Garden, Basant Garden, Chembur, Mumbai, Maharashtra",19.0524292,72.90023804,
Electric Vehicles Charging Infrastructure (EVCI),"Ground Floor, Dwaraka, Pushpadhanwa Society, Madan Mohan Malviya Rd, Mulund West, Mumbai, Maharashtra",19.17156029,72.94515991,
Vraj Technologies,"4 L B S Road, Mumbai, Maharashtra 400080",19.17882729,72.94261932,
Mass-Tech Control,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund (West), Mumbai, Maharashtra 400080",19.17549896,72.94328308,
Ather Grid Charging Station,"Mcgm Parking ||, Runwal Greens, Nahur West, Industrial Area, Bhandup West, Mumbai, Maharashtra",19.15867233,72.9419632,
Ev Charging Solution,"202 Saideep Apartment, Sanartha Nagar 421503, Thane, Maharashtra 421503",19.20498466,72.97730255,
Tritan Ev Dock,"Tritan Dreams Building, 1ST Floor, Plot NO 303, NR Celebration Hall, Thane, Maharashtra 400602",19.18883133,72.95110321,
Tata Power Charging Station,"Final Plot No. 309, Service Rd, Next to Modi Hyundai Showroom, Dandekar Colony, Panch Pakhdi, Thane West, Thane, Maharashtra",19.18962479,72.9492569,
The Sustainer Charging Station,"Wagle Industrial Estate, Thane 400604",19.20240784,72.95472717,Open · Closes 19:00
