lat_round,lon_round,session_count,min_dist_km,nearby_sessions_2km,competitors_within_2km,predicted_demand,bucket
19.0941,72.8522,10,0.003990167311748398,11,8,10.029970444021782,near
19.0364,73.0299,10,0.0013333522944110256,13,8,10.023925432664761,near
18.9228,72.8335,10,0.0020706119057553422,19,15,9.993345214426292,near
19.1188,72.8782,10,0.004670786212311289,21,17,9.985089274059566,near
19.102,72.8872,4,0.0,11,6,9.910943194363801,near
19.0683,72.891,10,0.005671681030045805,16,12,9.80863406936228,near
19.0387,73.0222,2,0.0,13,8,9.588845679225098,near
19.0085,72.8153,2,0.0,14,8,8.903688616087113,near
19.0028,73.1076,2,0.0,11,7,8.810059948097516,near
19.0337,73.0204,1,0.0,13,8,8.730725011325594,near
19.032,72.8597,1,0.0,11,9,8.686437123335828,near
19.0053,72.8157,1,0.0,14,8,8.670565868065387,near
19.12,72.9141,6,0.000725707316305964,19,16,6.011082477639502,near
19.1787,72.8446,1,0.0,11,10,4.677565862603053,near
19.1088,72.8535,1,0.0,15,11,4.583638815368742,near
19.1206,72.9188,3,0.0,23,18,4.2598148832875085,near
19.1182,72.9053,2,0.0,23,20,4.142454138305194,near
18.9894,72.8252,4,0.006059462545863519,17,13,4.065537967540271,near
19.1164,72.9109,4,0.005365546920255696,19,16,4.00044822516869,near
19.1164,72.9097,4,0.004919166613837152,19,16,3.9993928954657383,near
18.9692,72.8195,1,0.0,14,11,3.9815290726869486,near
18.9218,72.8347,3,0.0,18,14,3.902500926295135,near
19.109,72.8771,3,0.0,24,17,3.8943420401859017,near
19.1146,72.8696,2,0.0,22,18,3.878130225078707,near
19.072,72.8821,1,0.0,20,14,3.7420414033706626,near
19.1265,72.8874,1,0.0,18,17,3.695822413251585,near
19.0702,72.881,1,0.0,21,15,3.691377479474056,near
19.1201,72.8872,1,0.005699292762365829,23,18,3.678642582135872,near
19.1112,72.874,1,0.0,24,17,3.6504018058304815,near
19.3134,72.8476,3,0.0,3,1,3.627320688290225,near
19.0731,72.8828,1,0.0,17,13,3.5092689956284078,near
19.0734,72.8892,2,0.0,16,12,3.5039607069401373,near
18.9216,72.8326,1,0.0,18,14,3.5010208700172853,near
18.9255,72.8234,1,0.0,18,14,3.4899965962892288,near
19.0803,72.8365,2,0.0,7,3,3.393397328519196,near
19.0751,72.8893,1,0.0,16,12,3.330315219127187,near
19.0012,72.8281,3,0.0,23,17,3.246912251743532,near
19.0161,72.828,2,0.0,21,14,3.1191299977626454,near
19.0344,72.8528,3,0.004210481769460166,16,13,3.0912623183583356,near
18.994,72.8231,1,0.0,19,14,3.0753134811829037,near
19.0029,72.824,3,0.0,21,15,3.056272720057737,near
19.2567,72.8572,2,0.0,5,2,3.039163657285147,near
18.9285,72.8255,3,0.0,19,15,3.0155948053754926,near
19.1421,72.8324,3,0.003497336550838034,10,7,3.0071995545581425,near
19.1146,72.8841,3,0.0017377648628767966,25,18,3.0018917450557248,near
19.0246,72.8428,3,0.0023432211037953624,17,15,2.9899099333711843,near
19.2402,72.8482,3,0.004471356558272758,10,7,2.9863674425935613,near
18.9938,72.8237,1,0.0,20,15,2.9797803704751495,near
18.9862,72.8149,3,0.00520671361015909,10,10,2.9784802830087584,near
19.0516,72.838,3,0.0011614813529369408,8,6,2.972616158063979,near
19.1372,72.8276,3,0.0,10,7,2.964616707704669,near
19.1738,72.86,3,0.00468754604618854,4,4,2.9643429336723996,near
19.1337,72.9008,3,0.0048963044104492585,6,5,2.9630970590527537,near
19.0815,72.8367,3,0.0,7,3,2.9498138168070898,near
19.0977,72.8271,3,0.0,5,3,2.9428038897111635,near
19.0852,72.9114,1,0.2917164162988746,6,4,2.933353628476219,near
19.0836,72.9136,2,0.0,6,4,2.933353628476219,near
18.9917,72.8415,1,0.0026578889602238364,17,14,2.919958324372471,near
19.137,72.8261,2,0.0,10,7,2.8604833607344995,near
19.2505,72.8591,3,0.0,10,7,2.856645338701704,near
18.9398,72.8354,1,0.0,15,13,2.832235414515687,near
19.037,72.9235,3,0.0,4,2,2.818493837566529,near
19.0155,72.8275,1,0.0,21,14,2.7982071336530923,near
19.0079,72.8425,1,0.0,20,15,2.7913949088805627,near
19.0246,72.8402,1,0.0,16,14,2.7879686330945477,near
19.0453,72.8417,2,0.003085194442502595,10,8,2.7858544942884604,near
18.965,72.8098,2,0.0,10,7,2.775143198712076,near
19.097,72.8261,1,0.0,5,3,2.7727746089510408,near
19.0737,72.857,1,0.0,3,3,2.7700602502951783,near
19.116,72.8502,1,0.002377342068052129,3,3,2.767473382040503,near
19.0202,72.8447,1,0.0,17,15,2.7644294068407573,near
19.0994,72.8269,1,0.0,5,3,2.7456929671844836,near
19.2053,72.8444,1,0.0,3,3,2.736568471873782,near
19.1538,72.8558,1,0.0013470785540477697,1,1,2.732917642038608,near
19.0864,72.9085,2,0.0,6,4,2.7239266919187997,near
19.2104,72.8572,1,0.0,2,2,2.7226475100608267,near
19.291,72.8511,1,0.0,1,1,2.714831334886367,near
19.1866,72.9728,3,0.0,6,3,2.7007433384919266,near
18.9636,72.8019,2,0.0,6,4,2.6962675812690557,near
19.1736,72.8352,2,0.0,8,7,2.6888713613405777,near
19.3919,72.833,1,0.0,1,1,2.676283592315753,near
19.0756,72.8322,2,0.0,8,4,2.6490015177844706,near
19.2587,72.9773,2,0.0,2,1,2.6309868087855297,near
19.2336,73.1353,2,0.0,4,3,2.621126674176348,near
19.0926,72.9224,1,0.006387178610372105,10,6,2.6195620764457126,near
19.0455,72.8996,2,0.0,8,7,2.6116977028760693,near
19.1808,72.9836,2,0.0,6,3,2.601613873711419,near
19.2298,72.8606,2,0.0,7,6,2.600103656007412,near
19.2365,72.8552,1,0.0,10,7,2.59324409688121,near
19.1339,73.0011,2,0.0,2,1,2.583637864990258,near
19.0658,72.8687,1,0.0,10,8,2.578980901564061,near
18.991,72.8485,2,0.0,5,4,2.5682489299585205,near
19.233,72.8552,1,0.0,10,7,2.566446548285187,near
19.0533,73.0571,2,0.0,3,2,2.5649480860542195,near
